,0,1
unbd-sage0.smt2,118.97399999999999,unknown
unbd-sage10.smt2,122.224,unknown
unbd-sage11.smt2,118.689,unknown
unbd-sage12.smt2,121.99,unknown
unbd-sage13.smt2,121.052,unknown
unbd-sage14.smt2,120.562,unknown
unbd-sage15.smt2,118.326,unknown
unbd-sage16.smt2,118.42699999999999,unknown
unbd-sage17.smt2,122.715,unknown
unbd-sage18.smt2,121.124,unknown
unbd-sage19.smt2,123.065,unknown
unbd-sage1.smt2,120.563,unknown
unbd-sage20.smt2,122.891,unknown
unbd-sage21.smt2,119.445,unknown
unbd-sage22.smt2,119.878,unknown
unbd-sage23.smt2,115.731,unknown
unbd-sage24.smt2,121.492,unknown
unbd-sage2.smt2,119.476,unknown
unbd-sage3.smt2,116.86699999999999,sat
unbd-sage4.smt2,121.379,unknown
unbd-sage5.smt2,119.993,unknown
unbd-sage6.smt2,122.412,unknown
unbd-sage7.smt2,119.41,unknown
unbd-sage8.smt2,121.815,unknown
unbd-sage9.smt2,121.922,unknown
